population,NofCrime,Nof5CategoryCrime,NofOtherCrime,midnightCrime,morningCrime,dayCrime,nightCrime,bad_health,bad_health_range,bad_health_range10
3126,154,82,57,13,29,41,71,15.6,3,5
3954,301,163,102,40,53,113,95,15.9,3,5
5287,242,129,55,30,54,62,96,17.9,4,6
4594,339,204,61,51,86,108,94,12.3,2,4
5949,150,85,32,21,32,55,42,12.5,2,4
3069,158,87,22,13,43,52,50,12,2,4
4216,461,244,83,53,83,189,136,9.3,2,3
4338,146,88,41,30,18,45,53,14.5,3,5
2819,98,55,16,13,24,31,30,7.4,1,2
3513,95,56,21,9,27,31,28,10.9,2,4
2967,289,98,35,10,39,148,92,10.9,2,4
2795,344,192,67,31,76,133,104,8.5,1,3
4445,516,240,40,18,80,242,176,10,2,3
2620,278,116,25,11,37,140,90,11,2,4
